Fund Holdings as of,25-Apr-25,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
ALA,ALTAGAS LTD,Utilities,Equity,"50,243,134.11",0.34,"50,243,134.11","1,255,137.00",40.03,Canada,Toronto Stock Exchange,CAD,1,CAD
ATRL,ATKINSREALIS GROUP INC,Industrials,Equity,"49,233,353.75",0.33,"49,233,353.75","736,475.00",66.85,Canada,Toronto Stock Exchange,CAD,1,CAD
CAE,CAE INC,Industrials,Equity,"45,613,247.35",0.31,"45,613,247.35","1,347,511.00",33.85,Canada,Toronto Stock Exchange,CAD,1,CAD
CCL.B,CCL INDUSTRIES INC CLASS B,Materials,Equity,"43,438,301.12",0.29,"43,438,301.12","619,132.00",70.16,Canada,Toronto Stock Exchange,CAD,1,CAD
OTEX,OPEN TEXT CORP,Information Technology,Equity,"41,628,501.24",0.28,"41,628,501.24","1,112,764.00",37.41,Canada,Toronto Stock Exchange,CAD,1,CAD
FSV,FIRSTSERVICE SUBORDINATE VOTING CO,Real Estate,Equity,"41,573,611.86",0.28,"41,573,611.86","175,542.00",236.83,Canada,Toronto Stock Exchange,CAD,1,CAD
KEY,KEYERA CORP,Energy,Equity,"41,167,254.68",0.28,"41,167,254.68","965,914.00",42.62,Canada,Toronto Stock Exchange,CAD,1,CAD
IVN,IVANHOE MINES LTD CLASS A,Materials,Equity,"40,303,208.20",0.27,"40,303,208.20","3,021,230.00",13.34,Canada,Toronto Stock Exchange,CAD,1,CAD
TIH,TOROMONT INDUSTRIES LTD,Industrials,Equity,"39,207,168.00",0.26,"39,207,168.00","343,200.00",114.24,Canada,Toronto Stock Exchange,CAD,1,CAD
TFII,TFI INTERNATIONAL INC,Industrials,Equity,"36,866,955.04",0.25,"36,866,955.04","333,698.00",110.48,Canada,Toronto Stock Exchange,CAD,1,CAD
LUN,LUNDIN MINING CORP,Materials,Equity,"36,160,640.15",0.24,"36,160,640.15","3,000,883.00",12.05,Canada,Toronto Stock Exchange,CAD,1,CAD
GIL,GILDAN ACTIVEWEAR INC,Consumer Discretionary,Equity,"35,127,119.43",0.24,"35,127,119.43","596,487.00",58.89,Canada,Toronto Stock Exchange,CAD,1,CAD
CTC.A,CANADIAN TIRE LTD CLASS A,Consumer Discretionary,Equity,"33,325,741.27",0.22,"33,325,741.27","220,219.00",151.33,Canada,Toronto Stock Exchange,CAD,1,CAD
BBD.B,BOMBARDIER INC CLASS B,Industrials,Equity,"33,123,367.55",0.22,"33,123,367.55","363,155.00",91.21,Canada,Toronto Stock Exchange,CAD,1,CAD
CPX,CAPITAL POWER CORP,Utilities,Equity,"31,905,451.87",0.21,"31,905,451.87","629,423.00",50.69,Canada,Toronto Stock Exchange,CAD,1,CAD
SOBO,SOUTH BOW CORP,Energy,Equity,"30,162,022.60",0.2,"30,162,022.60","873,755.00",34.52,Canada,Toronto Stock Exchange,CAD,1,CAD
CAD,CAD CASH,Cash and/or Derivatives,Cash,"29,388,313.85",0.2,"29,388,313.85","29,388,314.00",100,Canada,-,CAD,1,CAD
EMP.A,EMPIRE LTD CLASS A,Consumer Staples,Equity,"28,668,432.54",0.19,"28,668,432.54","573,254.00",50.01,Canada,Toronto Stock Exchange,CAD,1,CAD
CIGI,COLLIERS INTERNATIONAL GROUP SUBOR,Real Estate,Equity,"28,469,938.95",0.19,"28,469,938.95","178,015.00",159.93,Canada,Toronto Stock Exchange,CAD,1,CAD
BEP.UN,BROOKFIELD RENEWABLE PARTNERS NON,Utilities,Equity,"28,209,214.15",0.19,"28,209,214.15","900,965.00",31.31,Bermuda,Toronto Stock Exchange,CAD,1,CAD
CAR.UN,CANADIAN APARTMENT PROPERTIES REAL,Real Estate,Equity,"28,007,824.38",0.19,"28,007,824.38","678,813.00",41.26,Canada,Toronto Stock Exchange,CAD,1,CAD
SAP,SAPUTO INC,Consumer Staples,Equity,"27,219,711.00",0.18,"27,219,711.00","1,034,970.00",26.3,Canada,Toronto Stock Exchange,CAD,1,CAD
OR,OSISKO GOLD ROYALTIES LTD,Materials,Equity,"25,404,448.70",0.17,"25,404,448.70","784,330.00",32.39,Canada,Toronto Stock Exchange,CAD,1,CAD
DFY,DEFINITY FINANCIAL CORP,Financials,Equity,"25,299,522.28",0.17,"25,299,522.28","384,316.00",65.83,Canada,Toronto Stock Exchange,CAD,1,CAD
WFG,WEST FRASER TIMBER LTD,Materials,Equity,"24,621,740.60",0.17,"24,621,740.60","241,508.00",101.95,Canada,Toronto Stock Exchange,CAD,1,CAD
LUG,LUNDIN GOLD INC,Materials,Equity,"24,068,099.52",0.16,"24,068,099.52","413,968.00",58.14,Canada,Toronto Stock Exchange,CAD,1,CAD
PSK,PRAIRIESKY ROYALTY LTD,Energy,Equity,"23,894,069.22",0.16,"23,894,069.22","1,006,914.00",23.73,Canada,Toronto Stock Exchange,CAD,1,CAD
QBR.B,QUEBECOR INC CLASS B,Communication,Equity,"23,829,046.50",0.16,"23,829,046.50","655,725.00",36.34,Canada,Toronto Stock Exchange,CAD,1,CAD
ONEX,ONEX CORP,Financials,Equity,"23,738,869.38",0.16,"23,738,869.38","247,822.00",95.79,Canada,Toronto Stock Exchange,CAD,1,CAD
BTO,B2GOLD CORP,Materials,Equity,"23,637,285.28",0.16,"23,637,285.28","5,535,664.00",4.27,Canada,Toronto Stock Exchange,CAD,1,CAD
AQN,ALGONQUIN POWER UTILITIES CORP,Utilities,Equity,"23,560,437.02",0.16,"23,560,437.02","3,223,042.00",7.31,Canada,Toronto Stock Exchange,CAD,1,CAD
IMG,IAMGOLD CORP,Materials,Equity,"23,494,438.50",0.16,"23,494,438.50","2,409,686.00",9.75,Canada,Toronto Stock Exchange,CAD,1,CAD
ELD,ELDORADO GOLD CORP,Materials,Equity,"22,715,403.62",0.15,"22,715,403.62","860,758.00",26.39,Canada,Toronto Stock Exchange,CAD,1,CAD
MEG,MEG ENERGY CORP,Energy,Equity,"22,115,971.02",0.15,"22,115,971.02","1,080,937.00",20.46,Canada,Toronto Stock Exchange,CAD,1,CAD
FTT,FINNING INTERNATIONAL INC,Industrials,Equity,"22,057,734.60",0.15,"22,057,734.60","569,085.00",38.76,Canada,Toronto Stock Exchange,CAD,1,CAD
VRN,VEREN INC,Energy,Equity,"21,831,602.01",0.15,"21,831,602.01","2,571,449.00",8.49,Canada,Toronto Stock Exchange,CAD,1,CAD
KXS,KINAXIS INC,Information Technology,Equity,"21,448,990.85",0.14,"21,448,990.85","118,601.00",180.85,Canada,Toronto Stock Exchange,CAD,1,CAD
REI.UN,RIOCAN REAL ESTATE INVESTMENT TRUS,Real Estate,Equity,"21,410,677.89",0.14,"21,410,677.89","1,245,531.00",17.19,Canada,Toronto Stock Exchange,CAD,1,CAD
NPI,NORTHLAND POWER INC,Utilities,Equity,"20,765,180.62",0.14,"20,765,180.62","1,101,017.00",18.86,Canada,Toronto Stock Exchange,CAD,1,CAD
CU,CANADIAN UTILITIES LTD CLASS A,Utilities,Equity,"20,467,534.20",0.14,"20,467,534.20","542,330.00",37.74,Canada,Toronto Stock Exchange,CAD,1,CAD
WCP,WHITECAP RESOURCES INC,Energy,Equity,"20,324,467.80",0.14,"20,324,467.80","2,481,620.00",8.19,Canada,Toronto Stock Exchange,CAD,1,CAD
PKI,PARKLAND CORP,Energy,Equity,"19,879,962.96",0.13,"19,879,962.96","579,253.00",34.32,Canada,Toronto Stock Exchange,CAD,1,CAD
