iShares MSCI ACWI ex U.S. ETF,,,,,,,,,,,,,,
Fund Holdings as of,25-Apr-25,,,,,,,,,,,,,
Inception Date,26-Mar-08,,,,,,,,,,,,,
Shares Outstanding,"105,400,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
BNP,BNP PARIBAS SA,Financials,Equity,"18,217,988.66",0.31,"18,217,988.66","220,093.00",82.77,France,Nyse Euronext - Euronext Paris,USD,0.88,EUR,-
ABBN,ABB LTD,Industrials,Equity,"18,094,840.92",0.31,"18,094,840.92","347,149.00",52.12,Switzerland,SIX Swiss Exchange,USD,0.83,CHF,-
ICICIBANK,ICICI BANK LTD,Financials,Equity,"18,015,309.92",0.3,"18,015,309.92","1,095,708.00",16.44,India,National Stock Exchange Of India,USD,85.44,INR,-
3690,MEITUAN,Consumer Discretionary,Equity,"17,966,006.30",0.3,"17,966,006.30","1,092,160.00",16.45,China,Hong Kong Exchanges And Clearing Ltd,USD,7.76,HKD,-
BATS,BRITISH AMERICAN TOBACCO,Consumer Staples,Equity,"17,849,411.56",0.3,"17,849,411.56","426,999.00",41.8,United Kingdom,London Stock Exchange,USD,0.75,GBP,-
CS,AXA SA,Financials,Equity,"17,678,702.69",0.3,"17,678,702.69","383,303.00",46.12,France,Nyse Euronext - Euronext Paris,USD,0.88,EUR,-
UCG,UNICREDIT,Financials,Equity,"17,567,435.00",0.3,"17,567,435.00","303,769.00",57.83,Italy,Borsa Italiana,USD,0.88,EUR,-
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA SA,Financials,Equity,"17,464,895.15",0.3,"17,464,895.15","1,233,443.00",14.16,Spain,Bolsa De Madrid,USD,0.88,EUR,-
6861,KEYENCE CORP,Information Technology,Equity,"17,374,183.02",0.29,"17,374,183.02","40,800.00",425.84,Japan,Tokyo Stock Exchange,USD,143.98,JPY,-
1299,AIA GROUP LTD,Financials,Equity,"17,205,852.89",0.29,"17,205,852.89","2,424,400.00",7.1,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,7.76,HKD,-
ISP,INTESA SANPAOLO,Financials,Equity,"16,680,535.36",0.28,"16,680,535.36","3,145,250.00",5.3,Italy,Borsa Italiana,USD,0.88,EUR,-
BP.,BP PLC,Energy,Equity,"16,348,436.04",0.28,"16,348,436.04","3,370,615.00",4.85,United Kingdom,London Stock Exchange,USD,0.75,GBP,-
CSL,CSL LTD,Health Care,Equity,"16,156,553.96",0.27,"16,156,553.96","104,511.00",154.59,Australia,Asx - All Markets,USD,1.56,AUD,-
GSK,GLAXOSMITHKLINE,Health Care,Equity,"16,145,296.83",0.27,"16,145,296.83","873,403.00",18.49,United Kingdom,London Stock Exchange,USD,0.75,GBP,-
6098,RECRUIT HOLDINGS LTD,Industrials,Equity,"15,971,104.71",0.27,"15,971,104.71","302,200.00",52.85,Japan,Tokyo Stock Exchange,USD,143.98,JPY,-
BN,BROOKFIELD CORP CLASS A,Financials,Equity,"15,677,571.42",0.26,"15,677,571.42","294,427.00",53.25,Canada,Toronto Stock Exchange,USD,1.39,CAD,-
LSEG,LONDON STOCK EXCHANGE GROUP PLC,Financials,Equity,"15,552,107.62",0.26,"15,552,107.62","102,149.00",152.25,United Kingdom,London Stock Exchange,USD,0.75,GBP,-
PDD,PDD HOLDINGS ADS INC,Consumer Discretionary,Equity,"15,463,270.71",0.26,"15,463,270.71","148,671.00",104.01,China,NASDAQ,USD,1,USD,-
CSU,CONSTELLATION SOFTWARE INC,Information Technology,Equity,"15,178,428.02",0.26,"15,178,428.02","4,309.00","3,522.49",Canada,Toronto Stock Exchange,USD,1.39,CAD,-
WBC,WESTPAC BANKING CORPORATION CORP,Financials,Equity,"15,107,408.37",0.26,"15,107,408.37","737,783.00",20.48,Australia,Asx - All Markets,USD,1.56,AUD,-
