iShares MSCI ACWI ex U.S. ETF
Fund Holdings as of,"Apr 17, 2025"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"104,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CSU","CONSTELLATION SOFTWARE INC","Information Technology","Equity","14,351,488.21","0.25","14,351,488.21","4,253.00","3,374.44","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"BA.","BAE SYSTEMS PLC","Industrials","Equity","14,350,046.08","0.25","14,350,046.08","632,103.00","22.70","United Kingdom","London Stock Exchange","USD","0.76","GBP","Jan 01, 1998"
"NG.","NATIONAL GRID PLC","Utilities","Equity","14,304,320.19","0.25","14,304,320.19","1,001,777.00","14.28","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"DG","VINCI SA","Industrials","Equity","14,274,027.85","0.25","14,274,027.85","105,060.00","135.87","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"000660","SK HYNIX INC","Information Technology","Equity","14,258,007.68","0.25","14,258,007.68","115,608.00","123.33","Korea (South)","Korea Exchange (Stock Market)","USD","1,418.95","KRW","-"
"8766","TOKIO MARINE HOLDINGS INC","Financials","Equity","14,157,306.99","0.25","14,157,306.99","384,100.00","36.86","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"ENEL","ENEL","Utilities","Equity","14,154,286.54","0.25","14,154,286.54","1,691,561.00","8.37","Italy","Borsa Italiana","USD","0.88","EUR","-"
"NAB","NATIONAL AUSTRALIA BANK LTD","Financials","Equity","14,026,288.84","0.25","14,026,288.84","648,122.00","21.64","Australia","Asx - All Markets","USD","1.57","AUD","-"
"PDD","PDD HOLDINGS ADS INC","Consumer Discretionary","Equity","13,744,041.93","0.24","13,744,041.93","146,697.00","93.69","China","NASDAQ","USD","1.00","USD","-"
"RIO","RIO TINTO PLC","Materials","Equity","13,621,462.76","0.24","13,621,462.76","234,042.00","58.20","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"2454","MEDIATEK INC","Information Technology","Equity","13,060,509.16","0.23","13,060,509.16","317,000.00","41.20","Taiwan","Taiwan Stock Exchange","USD","32.52","TWD","Jul 23, 2001"
"D05","DBS GROUP HOLDINGS LTD","Financials","Equity","12,999,821.44","0.23","12,999,821.44","417,790.00","31.12","Singapore","Singapore Exchange","USD","1.31","SGD","Jan 01, 1998"
"8058","MITSUBISHI CORP","Industrials","Equity","12,998,967.44","0.23","12,998,967.44","745,900.00","17.43","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"8035","TOKYO ELECTRON LTD","Information Technology","Equity","12,981,943.47","0.23","12,981,943.47","93,200.00","139.29","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
