Fund Holdings as of,"Apr 17, 2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"LUG","LUNDIN GOLD INC","Materials","Equity","24,187,102.96","0.17","24,187,102.96","416,158.00","58.12","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"QBR.B","QUEBECOR INC CLASS B","Communication","Equity","23,816,715.35","0.16","23,816,715.35","659,195.00","36.13","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PSK","PRAIRIESKY ROYALTY LTD","Energy","Equity","23,777,611.56","0.16","23,777,611.56","1,012,244.00","23.49","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ELD","ELDORADO GOLD CORP","Materials","Equity","23,709,713.20","0.16","23,709,713.20","865,318.00","27.40","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MEG","MEG ENERGY CORP","Energy","Equity","22,743,940.31","0.16","22,743,940.31","1,086,667.00","20.93","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ONEX","ONEX CORP","Financials","Equity","22,437,450.36","0.15","22,437,450.36","247,572.00","90.63","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"VRN","VEREN INC","Energy","Equity","21,921,469.92","0.15","21,921,469.92","2,585,079.00","8.48","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FTT","FINNING INTERNATIONAL INC","Industrials","Equity","21,848,308.05","0.15","21,848,308.05","572,095.00","38.19","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"REI.UN","RIOCAN REAL ESTATE INVESTMENT TRUS","Real Estate","Equity","21,449,004.03","0.15","21,449,004.03","1,252,131.00","17.13","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KXS","KINAXIS INC","Information Technology","Equity","20,583,505.65","0.14","20,583,505.65","119,221.00","172.65","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CU","CANADIAN UTILITIES LTD CLASS A","Utilities","Equity","20,499,520.00","0.14","20,499,520.00","545,200.00","37.60","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WCP","WHITECAP RESOURCES INC","Energy","Equity","20,283,272.10","0.14","20,283,272.10","2,476,590.00","8.19","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NPI","NORTHLAND POWER INC","Utilities","Equity","20,262,794.00","0.14","20,262,794.00","1,098,850.00","18.44","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PKI","PARKLAND CORP","Energy","Equity","19,012,845.95","0.13","19,012,845.95","582,323.00","32.65","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CSH.UN","CHARTWELL RETIREMENT RESIDENCES RE","Health Care","Equity","18,976,735.36","0.13","18,976,735.36","1,157,824.00","16.39","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BYD","BOYD GROUP SERVICES INC","Industrials","Equity","18,419,772.78","0.13","18,419,772.78","90,546.00","203.43","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AC","AIR CANADA VOTING AND VARIABLE VOT","Industrials","Equity","18,109,897.74","0.12","18,109,897.74","1,296,342.00","13.97","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EQX","EQUINOX GOLD CORP","Materials","Equity","17,451,006.12","0.12","17,451,006.12","1,795,371.00","9.72","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
